TERC,Gmina,SIMC,Miejscowość,SYM_UL,Ulica,Nr porządkowy,Szerokość geograficzna,Długość geograficzna,gml_id
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,48,50.33060697856562,19.1947509249253,PL.ZIPIN.4267.EMUiA_8db29fb3-421d-4569-bdce-9665f89a4b7d
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,49,50.334315893884295,19.194953930110138,PL.ZIPIN.4267.EMUiA_10c7fd50-cbbf-4040-9e78-06fbd57dc9ee
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,50,50.331222707233074,19.195387334823156,PL.ZIPIN.4267.EMUiA_ad642fa4-12b3-434c-9808-5c4a2f471864
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,51,50.33715360837974,19.19441561611748,PL.ZIPIN.4267.EMUiA_6559574f-1409-4cb6-ad36-d0a348b494ad
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,51a,50.33694293642278,19.194281489061822,PL.ZIPIN.4267.EMUiA_f9b0fa7d-5ca0-47d9-b335-88cea45ee8a2
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,53,50.33736616273269,19.19444668200879,PL.ZIPIN.4267.EMUiA_57dd2312-8103-464c-a137-cb149297b45e
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,55,50.337761594187896,19.194393389321306,PL.ZIPIN.4267.EMUiA_a90a2f63-775c-4933-81c3-6b171193bd54
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,55A,50.337531382211935,19.194414412763397,PL.ZIPIN.4267.EMUiA_f0b11c4a-825a-416f-85d2-97a2d09a33d5
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,56,50.33240106201025,19.196033399983897,PL.ZIPIN.4267.EMUiA_c8d56d50-566a-4dbe-a939-7455e0b73620
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57,50.33798538092211,19.19426799035246,PL.ZIPIN.4267.EMUiA_d45253ce-f288-4ff5-9ef0-e3eb172ebe90
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57A,50.33831389310536,19.19430501960388,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57B,50.33844414430795,19.1943006550311,PL.ZIPIN.4267.EMUiA_8751d491-40ac-4c82-943e-ff3b275afc96
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57C,50.33861794741469,19.194256842560815,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57D,50.3388007097242,19.19424111492736,PL.ZIPIN.4267.EMUiA_b7602afd-f205-4735-9a76-3bcf6bcf1cc0
